Intervention Name,References,Measurement Tools (Caregiver Outcomes),Measurement Tools (PLWD Outcomes),Intervention Setting,Provider:Client Ratio,# of Sessions,Duration (in weeks),Session Length (in hours),Source,Evidence of Impelementation (Yes/No),RCT (Yes/No),Significant CG Outcome (Yes/No),Status,Notes/Comments,Combined Outcome Categories
Progressively Lowered Stress Threshold Intervention,"""Buckwalter, KC; Gerdner, L; Kohout, F; Hall, GR; Kelly, A; Richards, B; Sime, M"",""Stolley, JM; Reed, D; Buckwalter, KC"",""Gerdner, LA; Buckwalter, KC; Reed, D"",""Hall, GR; Buckwalter, KC"",""Kelly, AW; Buckwalter, KC; Hall, G; Weaver, AL; Butcher, HK""","Geriatric Depression Scale (GDS),Profile of Mood States (POMS),Memory and Behavior Problem Checklist (MBPC),Caregiver Appraisal Inventory (CAI)/Philadelphia Geriatric Center Caregiving Appraisal Scales (PGCCAS)",Memory and Behavior Problem Checklist (MBPC),"Home,Telephone/Web-based",1+:2 interventionist(s)-dyad,14,26,1-2,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,Not yet mapped. Pending final approval of list.,"CG Health: Psychological,PLWD Health: Psychological,CG Appraisal: Subjective Burden,CG Stressor: Disability of PLWD: Behavioral,CG Appraisal: Satisfaction"
TCARE (Tailored Caregiver Assessment and Referral),"""Montgomery, RJV; Kwak, J; Kosloski, K; O'Connell Valuch, K""","Identity Discrepancy,Montgomery Borgatta Caregiver Burden Scale,Center for Epidemiologic Studies - Depression (CES-D) Scale",TCARE Intention to Place in Long-term Care,"Community Space,Telephone/Web-based",1:1 interventionist-caregiver,≥4,≥39,1,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,See website for more information on current implementation: https://www.tailoredcare.com/ ,"CG Health: Psychological,CG Appraisal: Subjective Burden,CG Appraisal: Objective Burden,PLWD Health: Psychological,Institutionalization/Formal Care Utilization"
Mindfulness-Based Alzheimer's Caregiving Program,"""Brown, KW; Coogle, CL; Wegelin, J""","Perceived Stress Scale (PSS),Acceptance and Action Questionnaire II (AAQ II),Profile of Mood States (POMS),Medical Outcomes Study Short Form 36 (MOS SF-36),Family Care Inventory - Mutuality Scale (FCI-MS),Zarit Burden Interview (22-item),Salivary Cortisol",,Community Space,1+:1+ interventionist(s)-group of caregivers,8,8,1.5-2,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Health: Psychological,CG Coping: Negative Strategies,CG Coping: Positive Strategies,Context: Caregiver Beliefs on Providing Care,CG Health: Physical,Relationship Quality,CG Appraisal: Subjective Burden,CG Appraisal: Objective Burden"
Alzheimer's Disease Coordinated Care for San Diego Seniors (ACCESS),"""Vickrey, BG; Mittman, BS; Connor, KI; Pearson, ML; Della Penna, RD; Ganiats, TG; Demonte, RW; Chodosh, J; Cui, X; Vassar, S; Duan, N; Lee, M""","ACCESS Resource Utilization Measure,Lorig et al (1996) Self-effiacay/Confidence Measure,""Bass, Noelker and Rechlin (1996) Caregiver Mastery Scale"",Medical Outcomes Study (MOS) Social Support Survey,EuroQol-5D,ACCESS Dementia Knowledge Assessment,ACCESS Unmet Needs Measurement","ACCESS 23 Dementia Guidelines,ACCESS Resource Utilization Measure,Consumer Assessment of Health Plans Study (CAHPS) Quality of Care Assessment,Health Utilities Index Mark 3 (HUI-3),Charlson Comorbidity Index","Telephone/Web-based,Hospital/Medical Center",1:1 interventionist-caregiver,variable,≥52 ,variable,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,Implementation projects with a Medicare Managed Care Plan,"Institutionalization/Formal Care Utilization,CG Internal Resources,CG Coping: Positive Strategies,Context: Caregiver Resources (perceived social support),Quality of Life/Well-being,PLWD Health: Physical,Context: PLWD Resources (perceived social support),CG Health: Physical,PLWD Health: Psychological,CG Health: Psychological,CG Stressor: Disability of PLWD: Behavioral,Other"
Behavioral Treatment of Insomnia for Caregivers,"""McCurry, SM; Logsdon, RG; Vitiello, MV; Teri, L""","Revised Memory and Behavior Problem Checklist (RMBPC),Pittsburgh Sleep Quality Index (PSQI),Center for Epidemiologic Studies - Depression (CES-D) Scale,Screen for Caregiver Burden,""Caregiver Sleep Variables (Friedman et al, 1991)"",Center for Epidemiologic Studies - Depression (CES-D) 10-item",Revised Memory and Behavior Problem Checklist (RMBPC),"Community Space,Telephone/Web-based","1:1 interventionist-caregiver,1+:1+ interventionist(s)-group of caregivers",6 (group)/4 (1:1),6 (group)/4 (1:1),1,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Stressor: Disability of PLWD: Behavioral,PLWD Health: Psychological,CG Appraisal: Subjective Burden,CG Health: Physical,PLWD Health: Physical,CG Health: Psychological,CG Appraisal: Objective Burden"
African-American Alzheimer's Caregiver Training and Support Project 2 (ACTS-2),"""Glueckauf, RL; Jeffers, SB; Sharma, D; Massey, AJ; Davis, WS; Wesley, LM; Byrd, V; McIntyre, V; Stine, C; Martin, C""","Caregiver Appraisal Inventory (CAI)/Philadelphia Geriatric Center Caregiving Appraisal Scales (PGCCAS),""Revised Scale for Caregiving Self-Efficacy (Steffen et al, 2002)"",Center for Epidemiologic Studies - Depression (CES-D) Scale,Glueckauf (2000) Issue Severity Scale,Glueckauf (2000) Issue Frequency Scale,Glueckauf (2000) Issue Change Scale,Center for Epidemiologic Studies - Depression (CES-D) 10-item",,Telephone/Web-based,"1:1 interventionist-caregiver,1+:1+ interventionist(s)-group of caregivers",12,12,1,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Appraisal: Satisfaction,CG Appraisal: Subjective Burden,CG Coping: Positive Strategies,CG Internal Resources,Institutionalization/Formal Care Utilization,CG Health: Psychological,PLWD Health: Psychological,CG Stressor: Disability of PLWD: Behavioral,CG Stressor: Disability of PLWD: Functional"
New Ways for Better Days: Tailoring Activities for Person with Dementia and Caregivers (TAP),"""Gitlin, LN; Arthur, P; Piersol, C; Hessels, V; Wu, SS; Dai, Y; Mann, WC""","Caregiver Vigilance Scale,Neuropsychiatric Inventory - Caregiver Distress (NPI-D),Center for Epidemiologic Studies - Depression (CES-D) 10-item,Caregiver Assessment of Function and Upset Scale (CAFU)","Neuropsychiatric Inventory - Clinician (NPI-C),Caregiver Assessment of Function and Upset Scale (CAFU),Pain Intensity Scale,Albert (1996) Quality of Life ",Home,1+:2 interventionist(s)-dyad,≤8,variable,.5-1,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Appraisal: Objective Burden,CG Appraisal: Subjective Burden,CG Health: Psychological,PLWD Health: Psychological,CG Stressor: Disability of PLWD: Functional,PLWD Health: Physical,Quality of Life/Well-being"
Skills2Care,"""Gitlin, LN; Corcoran, M; Winter, L; Boyce, A; Hauck, WW""","Haley et al (1987;1996) Self-efficacy Measures,Skills2Care Behavior/ADL/IADL Upset Measure","Memory and Behavior Problem Checklist (MBPC),Functional Independence Measure,Instrumental Activities of Daily Living Scale/Lawton ADL Scale",Home,1:1 interventionist-caregiver,5,13,1.5,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,**This is the original trial and there are no other results reported for this sample. The intervention was tested again in the REACH trials and additional outcomes were included (reported in Gitlin et al 2003 and 2005 articles listed on BPC site). Based on our criteria the 2001 article is the only one that would be included.,"CG Internal Resources,CG Stressor: Disability of PLWD: Functional,CG Appraisal: Subjective Burden,PLWD Health: Psychological,CG Stressor: Disability of PLWD: Behavioral,PLWD Health: Physical"
Inner Resources for Stress,"""Waelde, LC; Meyer, H; Thompson, JM; Thompson, L; Gallagher-Thompson, D""","Satisfaction with Life Scale,Center for Epidemiologic Studies - Depression (CES-D) Scale,""Revised Scale for Caregiving Self-Efficacy (Steffen et al, 2002)"",Inner Resources for Stress Subjective Improvement Measure,Salivary Cortisol,Center for Epidemiologic Studies - Depression (CES-D) 10-item",Mini-Mental State Exam (MMSE),Community Space,1+:1+ interventionist(s)-group of caregivers,10,8,1.5-3,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,,"CG Health: Psychological,Quality of Life/Well-being,CG Appraisal: Satisfaction,PLWD Health: Psychological,CG Coping: Positive Strategies,CG Internal Resources,Institutionalization/Formal Care Utilization,Other,CG Coping: Negative Strategies,CG Appraisal: Objective Burden"
STAR Caregiver (STAR-C),"""Teri, L; McCurry, SM; Logsdon, R; Gibbons, LE""","Revised Memory and Behavior Problem Checklist (RMBPC),Center for Epidemiologic Studies - Depression (CES-D) Scale,Hamilton Depression Rating Scale (HDRS),Perceived Stress Scale (PSS),Screen for Caregiver Burden,Short Sense of Competence Questionnaire (SSCQ),Neuropsychiatric Inventory - Caregiver Distress (NPI-D)","Neuropsychiatric Inventory (NPI),Revised Memory and Behavior Problem Checklist (RMBPC),Quality of Life in Alzheimer's Disease (QOL-AD)","Home,Telephone/Web-based",1:1 interventionist-caregiver,12,26,1,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,Also on Hodgson and Gitlin table = published implementation,"CG Stressor: Disability of PLWD: Behavioral,PLWD Health: Psychological,CG Appraisal: Subjective Burden,CG Health: Psychological,CG Appraisal: Objective Burden,CG Internal Resources,Relationship Quality,CG Appraisal: Satisfaction,Quality of Life/Well-being"
Savvy Caregiver,"""Ostwald, SK; Hepburn, KW; Caron, W; Burns, T; Mantell, R"",""Hepburn, KW; Tornatore, J; Center, B; Ostwald, SW""","Revised Memory and Behavior Problem Checklist (RMBPC),Zarit Burden Interview (22-item),Center for Epidemiologic Studies - Depression (CES-D) Scale,Beliefs about Caregiving Scale (BACS)","Revised Memory and Behavior Problem Checklist (RMBPC),Instrumental Activities of Daily Living Scale/Lawton ADL Scale,Mini-Mental State Exam (MMSE)",Community Space,"1+:1+ interventionist(s)-family,1+:1+ interventionist(s)-group of caregivers",7,7,2,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,"Also on Hodgson and Gitlin table = published implementation        ** program has changed through time and was tested again with results reported in 2007 that look at more outcomes and is based on a modified version of the program. If we stick with the most original article and same sample, that is the 1999 article, however the program as it currently stands is likely more in line with the 2007 article; also how do we account for the telehealth version?","CG Stressor: Disability of PLWD: Behavioral,PLWD Health: Psychological,CG Appraisal: Subjective Burden,CG Health: Psychological,Context: Caregiver Beliefs on Providing Care,PLWD Health: Physical,CG Stressor: Disability of PLWD: Functional"
Acquiring New Skills While Enhancing Remaining Strengths (ANSWERS),"""Judge, KS; Yarry, SJ; Looman, WJ; Bass, DM""","Center for Epidemiologic Studies - Depression (CES-D) Scale,Caregiver Appraisal Inventory (CAI)/Philadelphia Geriatric Center Caregiving Appraisal Scales (PGCCAS),""Bass, Noelker and Rechlin (1996) Physical Health Strain"",Pearlin (1990) Self-efficacy Scale,""Role Captivity Scale (Pearlin, 1990)"",Bass Tausing and Noelker (1989) Dyadic Relationship Strain Scale,Zung Self-rated Anxiety Scale,Quality of Life in Alzheimer's Disease (QOL-AD),Rosenberg Self-esteem Scale,""Bass, Noelker and Rechlin (1996) Emotional Health Strain"",Center for Epidemiologic Studies - Depression (CES-D) 10-item",,Home,1:1 interventionist-caregiver,6,6,1.5,Best Practice Caregiving Website,yes,yes,yes,Unique + Meet all Criteria,Implementation is documented on BPC website with VA ANSWERS Project and Aging Brain Care ANSWERS Program with the Department of Defense,"CG Health: Psychological,PLWD Health: Psychological,CG Appraisal: Satisfaction,CG Appraisal: Subjective Burden,CG Internal Resources,Relationship Quality,Quality of Life/Well-being,CG Stressor: Disability of PLWD: Functional,CG Stressor: Disability of PLWD: Behavioral"
